Book_Title,Author_Name,Rating_score,Rating_votes,Year_published,Sf_class
The Left Hand of Darkness,Ursula K. Le Guin,4.08,125384,1969,aliens
Lilith's Brood,Octavia E. Butler,4.35,15107,1987,aliens
Remnant Population,Elizabeth Moon,4.06,4137,1996,aliens
Bloodchild and Other Stories,Octavia E. Butler,4.34,14002,1995,aliens
Grass,Sheri S. Tepper,4.05,11216,1989,aliens
The Handmaid's Tale,Margaret Atwood,4.12,1521719,1985,alternate_history
The Power,Naomi Alderman,3.8,167606,2016,alternate_history
Rodham,Curtis Sittenfeld,3.84,24206,2020,alternate_history
The Future of Another Timeline,Annalee Newitz,3.75,4569,2019,alternate_history
The Once and Future Witches,Alix E. Harrow,4.14,11539,2020,alternate_history
Swastika Night,Katharine Burdekin,3.62,1883,1937,alternate_history
The Testaments,Margaret Atwood,4.2,231717,2019,alternate_history
The Female Man,Joanna Russ,3.51,6156,1975,alternate_history
Outlawed,Anna North,3.68,6948,2021,alternate_history
Red Clocks,Leni Zumas,3.68,18898,2018,alternate_history
The Lady's Guide to Petticoats and Piracy,Mackenzi Lee,4.09,25718,2018,alternate_history
Vox,Christina Dalcher,3.55,55972,2018,alternate_history
The Power,Naomi Alderman,3.8,167611,2016,alternate_universe
The Handmaid's Tale,Margaret Atwood,4.12,1521719,1985,alternate_universe
The Testaments,Margaret Atwood,4.2,231722,2019,alternate_universe
Red Clocks,Leni Zumas,3.68,18899,2018,alternate_universe
The Future of Another Timeline,Annalee Newitz,3.75,4569,2019,alternate_universe
The Female Man,Joanna Russ,3.51,6156,1975,alternate_universe
The Grace Year,Kim Liggett,4.15,31503,2019,alternate_universe
The Handmaid's Tale,Margaret Atwood,4.12,1521228,1985,dystopia
The Testaments,Margaret Atwood,4.2,231581,2019,dystopia
The Power,Naomi Alderman,3.8,167544,2016,dystopia
Vox,Christina Dalcher,3.55,55953,2018,dystopia
When She Woke,Hillary Jordan,3.67,26240,2011,dystopia
The Grace Year,Kim Liggett,4.15,31439,2019,dystopia
Only Ever Yours,Louise O'Neill,3.77,13404,2014,dystopia
Red Clocks,Leni Zumas,3.68,18894,2018,dystopia
Future Home of the Living God,Louise Erdrich,3.55,19421,2017,dystopia
The Book of the Unnamed Midwife,Meg Elison,4.14,14051,2014,dystopia
Bitch Planet Vol. 1: Extraordinary Machine,Kelly Sue DeConnick,4.04,22428,2015,dystopia
The Water Cure,Sophie Mackintosh,3.26,18695,2018,dystopia
The Gate to Women's Country,Sheri S. Tepper,4.06,12390,1987,dystopia
The Handmaid's Tale: The Graphic Novel,Renée Nault,4.23,11994,2019,dystopia
Gather the Daughters,Jennie Melamed,3.62,7733,2017,dystopia
Girls with Sharp Sticks,Suzanne Young,3.94,6937,2019,dystopia
Daughters of the North,Sarah Hall,3.4,3653,2007,dystopia
